movie,image,location,lat,lng
Requiem for a Dream,requiem.jpg,New York City,40.7305991,-73.9865811
Inside Man,insideman.jpg,New York City,40.7305991,-73.9865811
Shame,shame.jpg,New York City,40.7305991,-73.9865811
Enchanted,enchanted.jpg,New York City,40.7305991,-73.9865811
Pi,pi.jpg,New York City,40.7305991,-73.9865811
Breakfast at Tiffany's,breakfast-tiffany.jpg,"167 East 71st Street, Manhattan, New York City, New York, USA",40.7305991,-73.9865811
Do the Right Thing,rightthing.jpg,New York City,40.7305991,-73.9865811
Wall Street,wallstreet.jpg,New York City,40.7305991,-73.9865811
"New York, I Love You",nyilu.png,New York City,40.7305991,-73.9865811
Watchmen,watchmen.jpg,Vancouver,49.2608944,-123.1139382
Deadpool,deadpool.jpg,Vancouver,49.2608944,-123.1139382
Rumble in the Bronx,bronx.jpg,Vancouver,49.2608944,-123.1139382
RED,red.jpg,Toronto,43.6529206,-79.3849007
Kick-Ass,kickass.png,Toronto,43.6529206,-79.3849007
American Psycho,psycho.jpg,Toronto,43.6529206,-79.3849007
Hell-Boy,hellboy.jpg,Prague,50.0874654,14.4212503
Rear Window,rearwindow.jpg,Los Angeles,34.054935,-118.2444759
Rope,rope.jpg,Los Angeles,34.054935,-118.2444759
Being John Malkovich,malkovich.jpg,Los Angeles,34.054935,-118.2444759
Whiplash,whiplash.jpg,Los Angeles,34.054935,-118.2444759
Newsies,newsies.jpg,Los Angeles,34.054935,-118.2444759
Guys and Dolls,guys.jpg,Los Angeles,34.054935,-118.2444759
Harlem Nights,harlem.jpg,Los Angeles,34.054935,-118.2444759
Hello Dolly,dolly.jpg,Los Angeles,34.054935,-118.2444759
I'm Not There.,nothere.jpg,Montreal,45.4972159,-73.6103641
Escape from New York,escape.jpg,Atlanta,33.7490987,-84.3901848
Fantastic Beasts and Where to Find Them,beasts.jpg,Liverpool,53.4054719,-2.9805391
Carol,carol.jpg,Cincinnati,39.1014537,-84.5124601
